Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.808615,0.867615,0.767923,0.826446,0.664938,0.0,0.75,0.00263
borg,0.758615,0.805077,0.691231,0.759462,-1.0,6.9E-5,0.784308,0.01482
datapro4j,0.864154,0.926692,0.823308,0.898462,0.893923,0.001077,0.882385,0.021
ical4j,0.844538,0.917692,0.809538,0.862862,0.795154,0.002015,0.827615,0.06135
java2html,0.766231,0.810923,0.751615,0.76,-1.0,-1.0,0.719462,0.00317
jsapar,0.799231,0.834692,0.649846,0.735615,0.663385,0.0,0.683769,0.00145
jxls,0.832154,0.881308,0.850077,0.772846,-1.0,3.25E-4,0.810846,0.01227
logisim,0.752333,0.88575,0.819,0.82225,-1.0,5.0E-5,0.825417,0.02917
marvin,0.860583,0.91275,0.839583,0.884,0.704833,0.0,0.870083,4.0E-4
nekohtml,0.862917,0.92475,0.873583,0.854667,0.66,0.0,0.86825,0.0029
