Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.044568,0.030901,0.048806,0.099031,0.0,0.00535,0.039615,0.050148
borg,0.064936,0.025657,0.046398,0.288607,-1.0,0.005415,0.026266,0.054324
datapro4j,0.039293,0.02107,0.046602,0.088137,0.02521,0.006488,0.028611,0.056548
ical4j,0.057228,0.013754,0.026645,0.091141,0.023499,0.003763,0.019451,0.053354
java2html,0.169086,0.044641,0.05646,0.0,-1.0,-1.0,0.051548,0.076979
jsapar,0.10545,0.059853,0.084747,0.241093,0.014351,0.007549,0.084091,0.043768
jxls,0.051286,0.019799,0.040725,0.035301,-1.0,0.010213,0.026347,0.053054
logisim,0.042303,0.008883,0.02352,0.017709,-1.0,0.004045,0.016248,0.05316
marvin,0.052158,0.026275,0.07633,0.092018,0.003953,0.005061,0.045,0.027572
nekohtml,0.041657,0.01445,0.043694,0.069815,0.017516,0.0,0.022754,0.072705
