Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.354537,0.541703,0.31189,0.497843,0.125467,5.97E-4,0.305267,0.03342
borg,0.423177,0.588387,0.341897,0.540767,-1.0,0.002247,0.216667,0.01818
datapro4j,0.411733,0.562907,0.32257,0.566113,0.279353,6.17E-4,0.435857,0.04446
ical4j,0.503545,0.63761,0.443913,0.604283,0.412553,0.001363,0.423033,0.02927
java2html,0.341947,0.496573,0.304243,0.486183,-1.0,0.001133,0.212,0.01356
jsapar,0.17215,0.43011,0.259067,0.396607,0.186067,0.001383,0.238387,0.01017
jxls,0.480023,0.6212,0.431743,0.59389,-1.0,0.003273,0.338667,0.04427
logisim,0.36592,0.545273,0.436937,0.525377,-1.0,0.001253,0.453,0.0175
marvin,0.3393,0.559977,0.294973,0.539367,0.28335,6.7E-5,0.36168,0.01015
nekohtml,0.34747,0.485643,0.283177,0.449517,0.209033,2.23E-4,0.281147,0.01278
