Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.110251,0.056436,0.080281,0.087879,0.036788,0.017533,0.04019,0.067093
borg,0.103783,0.04263,0.041964,0.094902,-1.0,0.010521,0.012752,0.036421
datapro4j,0.067945,0.038804,0.068083,0.086644,0.041061,0.019182,0.038167,0.061534
ical4j,0.0878,0.036214,0.104111,0.089348,0.025868,0.002728,0.026254,0.051598
java2html,0.147575,0.056946,0.079587,0.108459,-1.0,0.018761,0.117605,0.047991
jsapar,0.110107,0.058577,0.085972,0.087781,0.045026,0.014327,0.057352,0.071822
jxls,0.096674,0.040958,0.034903,0.09892,-1.0,0.005536,0.103772,0.045234
logisim,0.094402,0.031485,0.054585,0.084043,-1.0,0.006107,0.032343,0.048404
marvin,0.091072,0.060463,0.08326,0.093812,0.06857,0.0,0.059983,0.058406
nekohtml,0.072975,0.04207,0.090309,0.087951,0.048713,0.002222,0.06279,0.06404
