Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.873867,0.884867,0.70334,0.84064,0.804667,1.0E-4,0.772333,0.05332
borg,0.8364,0.8058,0.660867,0.658667,-1.0,0.00245,0.698933,0.03595
datapro4j,0.9544,0.964133,0.815733,0.9528,0.8688,0.003267,0.930333,0.0522
ical4j,0.8898,0.898929,0.775,0.819333,0.843533,0.002533,0.865067,0.06935
java2html,0.772,0.7892,0.757467,0.8162,-1.0,0.005667,0.7144,0.0116
jsapar,0.796533,0.834027,0.768867,0.785653,0.688,0.002253,0.584,0.03409
jxls,0.852133,0.8382,0.840667,0.756733,-1.0,0.012,0.7624,0.0419
logisim,0.898733,0.932667,0.8714,0.9,-1.0,0.0,0.913333,0.0278
marvin,0.901533,0.9294,0.844933,0.883867,0.758667,0.0,0.8616,0.0079
nekohtml,0.869133,0.940733,0.8502,0.890067,0.9128,0.002433,0.896267,0.03635
