Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.077697,0.047362,0.081513,0.127716,0.026816,0.025661,0.059793,0.084203
borg,0.070454,0.023664,0.023939,0.240212,-1.0,0.011172,0.006631,0.02741
datapro4j,0.061888,0.049897,0.096906,0.102168,0.071862,0.020975,0.051744,0.077047
ical4j,0.056374,0.025441,0.046284,0.039182,0.030095,0.002917,0.024844,0.051016
java2html,0.088359,0.039799,0.048956,0.081877,-1.0,0.015571,0.115254,0.062149
jsapar,0.092139,0.051454,0.078403,0.230514,0.072716,0.024008,0.049763,0.089199
jxls,0.051882,0.022883,0.013029,0.003849,-1.0,0.012617,0.078371,0.043269
logisim,0.041492,0.014208,0.040932,0.124671,-1.0,0.005769,0.018753,0.060067
marvin,0.083753,0.045212,0.090373,0.09427,0.05496,0.019733,0.066862,0.096417
nekohtml,0.056798,0.038261,0.098521,0.076031,0.066918,0.014595,0.04234,0.088209
