Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.799817,0.846157,0.67885,0.736337,0.726333,0.001247,0.634733,0.0244
borg,0.74815,0.815117,0.59632,0.76569,-1.0,0.002843,0.394,0.02752
datapro4j,0.872083,0.95523,0.792613,0.922613,0.83563,0.003473,0.901007,0.10277
ical4j,0.83254,0.933803,0.79473,0.84209,0.715133,0.005963,0.77547,0.08559
java2html,0.79461,0.813363,0.704057,0.8219,-1.0,0.005403,0.53432,0.03081
jsapar,0.74031,0.831407,0.67301,0.73399,0.5796,9.17E-4,0.552033,0.04373
jxls,0.84816,0.90643,0.745917,0.814797,-1.0,0.00352,0.703663,0.04056
logisim,0.816063,0.90922,0.876667,0.877,-1.0,0.00129,0.883,0.05166
marvin,0.794457,0.897327,0.808113,0.868183,0.6651,0.001063,0.765553,0.01417
nekohtml,0.80338,0.89287,0.81777,0.84333,0.71113,0.001953,0.722,0.03412
