Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.084392,0.037014,0.078606,0.091834,0.034371,0.015851,0.035219,0.058344
borg,0.075295,0.032394,0.043813,0.100781,-1.0,0.007572,0.091289,0.043498
datapro4j,0.058841,0.026391,0.062531,0.089702,0.042161,0.015282,0.030401,0.079984
ical4j,0.06464,0.038944,0.043622,0.098058,0.02622,0.010699,0.018487,0.051546
java2html,0.123824,0.07763,0.086305,0.098497,-1.0,0.023342,0.071241,0.081083
jsapar,0.087317,0.055783,0.101698,0.140487,0.00587,0.016239,0.085174,0.08233
jxls,0.054677,0.024204,0.05841,0.0353,-1.0,0.012426,0.070299,0.051925
logisim,0.055859,0.029895,0.06337,0.08638,-1.0,0.008168,0.021909,0.059644
marvin,0.085934,0.053281,0.07757,0.092465,0.026831,0.024873,0.074502,0.054185
nekohtml,0.059953,0.029741,0.077416,0.096294,0.045992,0.025996,0.067108,0.075446
