Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.70361,0.758773,0.487867,0.766857,0.345867,5.63E-4,0.292033,0.03774
borg,0.570843,0.654523,0.366683,0.495,-1.0,0.016778,0.054667,0.04157
datapro4j,0.852963,0.878883,0.63452,0.887377,0.77726,3.57E-4,0.808127,0.03693
ical4j,0.717473,0.806917,0.527993,0.709797,0.61877,0.00315,0.642083,0.06728
java2html,0.59443,0.66678,0.49955,0.6792,-1.0,7.59E-4,0.386777,0.01998
jsapar,0.55985,0.62864,0.442873,0.599727,0.256887,0.001483,0.143267,0.02864
jxls,0.685973,0.711387,0.5527,0.6733,-1.0,0.004013,0.427,0.03867
logisim,0.789633,0.8681,0.8243,0.838333,-1.0,0.034435,0.760333,0.0428
marvin,0.69455,0.808873,0.653993,0.793073,0.640103,6.53E-4,0.614087,0.01096
nekohtml,0.76154,0.831517,0.698,0.803073,0.760763,0.001327,0.767143,0.03515
