Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.104457,0.083513,0.088767,0.08902,0.035072,0.008488,0.042898,0.055021
borg,0.106316,0.073189,0.08033,0.087757,-1.0,0.009397,0.050613,0.066665
datapro4j,0.127549,0.094497,0.070534,0.084163,0.041601,0.001307,0.048525,0.076485
ical4j,0.095187,0.072881,0.04898,0.089518,0.022746,0.002976,0.033131,0.049757
java2html,0.120901,0.075595,0.093462,0.103773,-1.0,0.007374,0.103608,0.076067
jsapar,0.132059,0.075883,0.086573,0.086477,0.070338,0.012449,0.069156,0.057444
jxls,0.116219,0.086468,0.068946,0.086286,-1.0,0.003232,0.061734,0.068513
logisim,0.091677,0.069889,0.062126,0.069794,-1.0,0.0,0.028876,0.061431
marvin,0.12931,0.103131,0.093619,0.097049,0.063459,0.006681,0.074502,0.057893
nekohtml,0.12438,0.077765,0.100028,0.101107,0.047528,0.004695,0.076319,0.046992
