Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.238593,0.5536,0.250029,0.608129,0.428821,0.0,0.451864,0.00263
borg,0.070793,0.474771,0.089914,0.299314,-1.0,0.0,0.308307,0.01906
datapro4j,0.584329,0.758886,0.45485,0.792921,0.728857,0.0,0.72745,0.00776
ical4j,0.122854,0.452115,0.210808,0.465746,0.325336,0.0,0.295931,0.00983
java2html,0.199869,0.508723,0.122923,0.359415,-1.0,0.0,0.151092,0.00168
jsapar,0.115038,0.439515,0.163969,0.4546,0.257985,0.0,0.224392,0.00637
jxls,0.329785,0.557162,0.213008,0.491931,-1.0,0.0,0.365077,0.02255
logisim,0.340685,0.598962,0.404054,0.479185,-1.0,0.0,0.481385,0.05064
marvin,0.407685,0.6291,0.377462,0.6539,0.560008,0.0,0.549469,0.0
nekohtml,0.457077,0.645969,0.391792,0.695846,0.530731,0.0,0.470546,0.0032
