Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.133283,0.076374,0.073458,0.094194,0.052666,0.023913,0.03422,0.057451
borg,0.111744,0.062451,0.099883,0.120951,-1.0,0.0,0.06352,0.064768
datapro4j,0.104998,0.069651,0.07677,0.102882,0.055096,0.001639,0.051452,0.0756
ical4j,0.109651,0.076289,0.070348,0.084596,0.030198,0.016493,0.043756,0.046837
java2html,0.140011,0.077255,0.098239,0.136026,-1.0,0.0,0.093917,0.078822
jsapar,0.134374,0.085772,0.077617,0.094576,0.050585,0.020868,0.071222,0.069654
jxls,0.108561,0.066664,0.071537,0.112099,-1.0,0.011584,0.044362,0.087848
logisim,0.115152,0.047242,0.084658,0.105039,-1.0,0.0,0.023727,0.086659
marvin,0.116315,0.087428,0.085278,0.092544,0.066978,0.010552,0.05641,0.031421
nekohtml,0.102997,0.068903,0.082689,0.0961,0.041096,0.015306,0.035234,0.058049
