Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.712207,0.75548,0.58884,0.80944,0.683133,0.0,0.696687,0.01598
borg,0.581267,0.636773,0.45924,0.581267,-1.0,-1.0,0.507533,0.01053
datapro4j,0.867533,0.905467,0.708067,0.920667,0.918733,0.0,0.8556,9.0E-4
ical4j,0.711267,0.781933,0.567033,0.704133,0.745867,0.0,0.750427,0.03481
java2html,0.575133,0.586533,0.565433,0.610067,-1.0,-1.0,0.4506,0.00945
jsapar,0.586547,0.621747,0.52228,0.596453,0.433133,0.0,0.36724,0.01028
jxls,0.706467,0.742733,0.676267,0.700267,-1.0,-1.0,0.628733,0.0068
logisim,0.8476,0.9276,0.802067,0.847333,-1.0,-1.0,0.8862,0.0134
marvin,0.753333,0.8218,0.667933,0.782733,0.662467,0.0,0.765533,0.0
nekohtml,0.812733,0.8904,0.788733,0.854933,0.894333,0.0,0.834867,9.5E-4
