Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.49134,0.75034,0.352273,0.653693,0.56324,7.2E-4,0.511427,0.04865
borg,0.403907,0.61472,0.246673,0.4612,-1.0,9.07E-4,0.331133,0.03196
datapro4j,0.82846,0.887013,0.61826,0.765067,0.85814,1.2E-4,0.771353,0.05102
ical4j,0.431547,0.649053,0.384667,0.506713,0.554693,4.67E-4,0.564373,0.061722
java2html,0.34286,0.688167,0.41024,0.559787,-1.0,0.0,0.268587,0.0215
jsapar,0.322553,0.554653,0.309987,0.442627,0.29218,7.27E-4,0.2393,0.03805
jxls,0.65498,0.79374,0.515987,0.65638,-1.0,0.0,0.6252,0.0452
logisim,0.725773,0.78278,0.691667,0.724067,-1.0,0.01124,0.687133,0.07105
marvin,0.587067,0.807033,0.55792,0.75822,0.600787,0.00246,0.629947,0.03717
nekohtml,0.645247,0.780733,0.5616,0.63086,0.660047,4.53E-4,0.602,0.03308
