Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.100926,0.072283,0.111607,0.14282,0.049551,0.015811,0.079303,0.071155
borg,0.092445,0.053633,0.073102,0.102616,-1.0,0.005241,0.046744,0.036993
datapro4j,0.099794,0.070558,0.118426,0.14427,0.073963,0.019225,0.078604,0.090197
ical4j,0.092456,0.060993,0.08418,0.058885,0.041878,0.006271,0.049611,0.052972
java2html,0.141289,0.060831,0.0993,0.161756,-1.0,0.016181,0.10857,0.100342
jsapar,0.119267,0.077967,0.090289,0.121777,0.037585,0.021966,0.063937,0.077386
jxls,0.082906,0.04505,0.058559,0.099108,-1.0,0.00698,0.05371,0.061415
logisim,0.05053,0.024409,0.073434,0.029937,-1.0,0.016663,0.025044,0.057938
marvin,0.112669,0.074631,0.106151,0.097906,0.065571,0.010757,0.054859,0.09403
nekohtml,0.08079,0.058554,0.091803,0.08758,0.041529,0.00252,0.04293,0.079511
