Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.596043,0.740863,0.540217,0.741963,0.638903,2.43E-4,0.499943,0.00694
borg,0.451693,0.603197,0.399247,0.57101,-1.0,5.2E-4,0.242243,0.01222
datapro4j,0.70407,0.855913,0.684427,0.865403,0.78987,1.03E-4,0.821717,0.01457
ical4j,0.598843,0.77159,0.56548,0.63468,0.55933,7.03E-4,0.64503,0.04484
java2html,0.566053,0.620487,0.54058,0.614497,-1.0,0.0,0.35952,0.00223
jsapar,0.549493,0.673853,0.485393,0.585847,0.477227,0.0,0.309507,0.00515
jxls,0.61557,0.733813,0.579247,0.699123,-1.0,4.6E-4,0.339267,0.01573
logisim,0.53791,0.806293,0.721113,0.800803,-1.0,1.07E-4,0.733783,0.02458
marvin,0.603217,0.737447,0.613197,0.726333,0.571217,6.7E-5,0.628163,0.0018
nekohtml,0.616753,0.762173,0.661237,0.71994,0.593657,4.0E-5,0.58951,0.00425
