Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.45685,0.610414,0.391379,0.532429,0.3408,0.002096,0.456564,0.02413
borg,0.508439,0.616368,0.413321,0.574964,-1.0,0.004239,0.523,0.01472
datapro4j,0.513071,0.666857,0.423714,0.634786,0.387464,0.003071,0.571679,0.0582
ical4j,0.510071,0.646036,0.447018,0.611786,0.496179,0.002089,0.589321,0.02075
java2html,0.378011,0.554893,0.38325,0.53725,-1.0,0.003267,0.41925,0.01174
jsapar,0.285632,0.486025,0.312143,0.444175,0.249893,0.002543,0.341357,0.01285
jxls,0.536189,0.653439,0.473357,0.639536,-1.0,0.0046,0.4735,0.02498
logisim,0.397259,0.544714,0.415179,0.523852,-1.0,0.0,0.505571,0.0035
marvin,0.543852,0.694296,0.408926,0.671963,0.518778,0.0,0.647407,0.0089
nekohtml,0.413667,0.545741,0.349741,0.481852,0.407185,0.0,0.437296,0.0091
