Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.7153,0.834196,0.394884,0.837452,0.810632,0.0,0.784768,0.02247
borg,0.109417,0.623292,0.285208,0.457739,-1.0,0.0,0.42828,0.0
datapro4j,0.923958,0.953875,0.770417,0.940917,0.951958,0.0,0.829875,0.0012
ical4j,0.348708,0.709833,0.366583,0.651417,0.634042,8.0E-4,0.589417,0.0044
java2html,0.190438,0.474271,0.16775,0.349978,-1.0,0.0,0.385667,0.0
jsapar,0.502146,0.741242,0.292133,0.755617,0.760833,0.0,0.671458,0.02108
jxls,0.497042,0.732167,0.487583,0.618417,-1.0,0.0,0.604333,0.0
logisim,0.41625,0.625875,0.399208,0.431167,-1.0,0.0,0.589125,0.0
marvin,0.92875,0.963542,0.775167,0.950792,0.970292,0.0,0.955667,0.0178
nekohtml,0.823125,0.885042,0.654958,0.880167,0.882292,0.0,0.864208,0.0
