Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.077233,0.038461,0.091387,0.085628,0.039367,0.009299,0.042478,0.074262
borg,0.119473,0.042511,0.04748,0.121893,-1.0,0.005292,0.029443,0.035549
datapro4j,0.05798,0.037242,0.050872,0.074862,0.032866,0.005665,0.050124,0.024379
ical4j,0.099447,0.034836,0.070476,0.087279,0.022764,0.0,0.030487,0.03622
java2html,0.115307,0.065978,0.065881,0.101392,-1.0,0.009682,0.070726,0.061008
jsapar,0.095157,0.046203,0.084251,0.088864,0.048232,0.008404,0.049016,0.04273
jxls,0.104349,0.049578,0.047399,0.107543,-1.0,0.006818,0.049872,0.026558
logisim,0.083734,0.032004,0.068818,0.095068,-1.0,0.002861,0.03693,0.046628
marvin,0.088758,0.086665,0.087197,0.092336,0.076246,0.001701,0.085504,0.052857
nekohtml,0.066175,0.04467,0.091367,0.080441,0.040439,0.005306,0.052328,0.028404
