Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.106269,0.072609,0.07641,0.087091,0.029902,0.007437,0.033052,0.065239
borg,0.08859,0.049748,0.068761,0.187788,-1.0,0.006885,0.048369,0.032129
datapro4j,0.133715,0.079885,0.063493,0.080506,0.028316,0.006562,0.024142,0.050972
ical4j,0.114662,0.061634,0.0631,0.076411,0.019868,0.00198,0.020767,0.035326
java2html,0.12758,0.056946,0.077582,0.073323,-1.0,0.033158,0.053267,0.076535
jsapar,0.146713,0.068961,0.081573,0.102733,0.027105,0.015931,0.04061,0.062063
jxls,0.10864,0.052638,0.051496,0.102982,-1.0,0.01199,0.03086,0.04858
logisim,0.122402,0.06261,0.064503,0.096617,-1.0,0.001127,0.017296,0.040431
marvin,0.141786,0.067475,0.083868,0.088385,0.044793,0.0,0.041883,0.060561
nekohtml,0.173368,0.076883,0.078787,0.120517,0.028927,0.010761,0.032327,0.050012
