Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.126845,0.048437,0.088441,0.098141,0.048795,0.010682,0.045352,0.105451
borg,0.137724,0.044538,0.038223,0.161907,-1.0,0.006885,0.042723,0.00985
datapro4j,0.112687,0.050049,0.0576,0.090602,0.050578,0.006728,0.066251,0.031866
ical4j,0.12885,0.050716,0.079908,0.086457,0.020178,0.002692,0.013957,0.033472
java2html,0.115754,0.055008,0.070198,0.106482,-1.0,0.021238,0.063749,0.049378
jsapar,0.141038,0.049653,0.079581,0.096586,0.053411,0.01949,0.057878,0.103164
jxls,0.107525,0.033707,0.049403,0.094246,-1.0,0.0,0.04754,0.032557
logisim,0.175755,0.033369,0.057914,0.113873,-1.0,0.004895,0.01883,0.032795
marvin,0.105372,0.089227,0.084329,0.075318,0.077752,0.00201,0.110969,0.074347
nekohtml,0.128409,0.044288,0.070825,0.088745,0.050174,0.001179,0.054771,0.039634
