Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.820265,0.896294,0.597029,0.632941,0.920088,0.0,0.878088,0.0326
borg,0.593882,0.715176,0.529706,0.427143,-1.0,0.001765,0.608471,0.021
datapro4j,0.941294,0.988647,0.868471,0.776471,0.994059,0.0,0.875529,0.0459
ical4j,0.846647,0.901688,0.740124,0.681059,0.881059,0.008664,0.863835,0.05788
java2html,0.687176,0.849,0.600706,0.772857,-1.0,0.0,0.766529,0.0
jsapar,0.794276,0.864141,0.595824,0.641824,0.891659,0.0,0.805365,0.04967
jxls,0.818471,0.874118,0.751176,0.641538,-1.0,0.0,0.746353,0.0306
logisim,0.846471,0.872353,0.792176,0.822222,-1.0,0.0,0.867059,0.0
marvin,0.9235,0.9895,0.869,0.90375,0.985375,0.0,0.978375,0.0322
nekohtml,0.890125,0.929313,0.807438,0.714375,0.96275,0.0,0.896313,0.015
