Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.063862,0.050642,0.092466,0.0,0.045668,0.001572,0.05738,0.134361
borg,0.061635,0.02825,0.02524,0.021795,-1.0,0.010757,0.029217,0.03254
datapro4j,0.042376,0.051616,0.044416,0.010189,0.051746,0.005778,0.036015,0.026985
ical4j,0.039083,0.026062,0.052215,0.039594,0.029278,0.001116,0.032087,0.046392
java2html,0.077697,0.065208,0.090912,0.016496,-1.0,0.018792,0.077592,0.060567
jsapar,0.062737,0.057699,0.083089,0.006792,0.052584,0.006596,0.062739,0.114709
jxls,0.042411,0.027088,0.027769,0.0,-1.0,0.0,0.021842,0.041316
logisim,0.032076,0.00917,0.039323,0.119631,-1.0,0.006044,0.01226,0.057982
marvin,0.049905,0.054734,0.080746,0.003608,0.057812,0.001884,0.066785,0.116649
nekohtml,0.051279,0.044807,0.091945,0.021651,0.033518,0.0,0.038233,0.037207
