Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.262853,0.482373,0.2891,0.45302,0.259393,6.33E-4,0.351993,0.02469
borg,0.298667,0.52758,0.328753,0.534653,-1.0,3.6E-4,0.2996,0.01235
datapro4j,0.291153,0.507127,0.354647,0.565993,0.2371,0.001607,0.401147,0.08716
ical4j,0.31702,0.548247,0.3828,0.6278,0.2656,0.002253,0.501507,0.03389
java2html,0.191647,0.52066,0.353527,0.505633,-1.0,4.33E-4,0.414467,0.01396
jsapar,0.254793,0.405773,0.25648,0.394,0.215927,0.00112,0.24676,0.01092
jxls,0.399267,0.579267,0.420887,0.584273,-1.0,2.13E-4,0.48562,0.01588
logisim,0.16014,0.41648,0.347293,0.4549,-1.0,0.0,0.357553,0.01582
marvin,0.31426,0.548733,0.35306,0.537127,0.3243,0.00186,0.437333,0.01084
nekohtml,0.27498,0.437993,0.293747,0.440647,0.26398,0.001673,0.35538,0.01939
