Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.096222,0.067091,0.080871,0.070563,0.040918,0.009808,0.043021,0.047516
borg,0.07955,0.053671,0.072761,0.107174,-1.0,0.004708,0.034107,0.046369
datapro4j,0.120427,0.084992,0.05975,0.076782,0.035381,0.001341,0.046927,0.062997
ical4j,0.091267,0.074868,0.056361,0.077536,0.032572,0.004131,0.04066,0.036834
java2html,0.123116,0.06869,0.085182,0.084959,-1.0,0.016772,0.071358,0.087655
jsapar,0.126541,0.074695,0.093502,0.07468,0.050495,0.011527,0.067311,0.060009
jxls,0.103594,0.06816,0.063498,0.092565,-1.0,0.008084,0.053615,0.050776
logisim,0.093315,0.065347,0.059072,0.070539,-1.0,0.001148,0.030083,0.046046
marvin,0.109684,0.082219,0.077521,0.083954,0.05131,0.005287,0.057816,0.065742
nekohtml,0.098235,0.0685,0.085288,0.096525,0.042431,0.010107,0.047576,0.049012
