Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.49174,0.690967,0.32196,0.71406,0.656493,0.0,0.65718,0.03611
borg,0.092673,0.43038,0.081867,0.303893,-1.0,0.0,0.285133,0.00512
datapro4j,0.75686,0.890113,0.703473,0.888733,0.8568,0.0,0.89278,0.03035
ical4j,0.143873,0.53778,0.241213,0.566947,0.39264,0.00511,0.36024,0.04915
java2html,0.33528,0.531713,0.134887,0.463607,-1.0,0.0,0.415013,0.00297
jsapar,0.299787,0.5717,0.216533,0.57458,0.581013,0.0,0.50062,0.02021
jxls,0.29484,0.552687,0.20648,0.432727,-1.0,0.0,0.411267,0.0
logisim,0.41924,0.717813,0.4356,0.515267,-1.0,0.0,0.5578,0.02601
marvin,0.691307,0.83934,0.593233,0.821507,0.830833,0.0,0.82658,0.02768
nekohtml,0.576133,0.777393,0.468493,0.764713,0.7212,0.0,0.666073,0.02615
