Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.102599,0.06383,0.0819,0.097019,0.047536,0.006476,0.052644,0.072866
borg,0.120936,0.053021,0.048099,0.148672,-1.0,0.005565,0.045354,0.02128
datapro4j,0.095626,0.06067,0.070055,0.089136,0.04467,0.006239,0.054741,0.059554
ical4j,0.129753,0.070147,0.073605,0.079715,0.033229,0.011661,0.02741,0.049059
java2html,0.114397,0.065421,0.082423,0.111241,-1.0,0.017733,0.078017,0.11662
jsapar,0.113047,0.072481,0.073512,0.092298,0.065392,0.007655,0.052918,0.067521
jxls,0.116477,0.056744,0.04296,0.100361,-1.0,0.0046,0.055344,0.068987
logisim,0.143497,0.041189,0.106511,0.12842,-1.0,0.001961,0.031606,0.051365
marvin,0.099507,0.062358,0.079958,0.083669,0.062689,0.007096,0.070456,0.062349
nekohtml,0.088287,0.054706,0.070185,0.081357,0.042065,0.016332,0.03781,0.05782
