Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.749643,0.842867,0.579083,0.850007,0.871903,0.00125,0.80169,0.04446
borg,0.5088,0.59935,0.462533,0.507667,-1.0,0.015538,0.449033,0.0159
datapro4j,0.897067,0.940633,0.815067,0.938867,0.952433,0.006067,0.890433,0.0702
ical4j,0.664233,0.720597,0.562823,0.6099,0.736333,0.019636,0.671197,0.06377
java2html,0.5027,0.629667,0.506033,0.666233,-1.0,0.0,0.520533,0.0
jsapar,0.620507,0.715147,0.568347,0.69354,0.685787,0.003643,0.54884,0.04362
jxls,0.713867,0.7603,0.653567,0.721667,-1.0,0.006706,0.514267,0.0105
logisim,0.732933,0.856667,0.736967,0.827308,-1.0,0.012619,0.833233,0.02435
marvin,0.782133,0.907967,0.7228,0.8876,0.907133,0.0,0.8787,0.0209
nekohtml,0.782367,0.85,0.772433,0.869667,0.872,0.0,0.8189,0.0337
