Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.08202,0.056922,0.082814,0.089945,0.04907,0.008635,0.052996,0.081511
borg,0.06802,0.042885,0.038888,0.20399,-1.0,0.007296,0.016882,0.024066
datapro4j,0.088322,0.064578,0.084135,0.098858,0.062753,0.004519,0.065243,0.063416
ical4j,0.077864,0.054284,0.056016,0.097729,0.035577,0.002941,0.031342,0.047171
java2html,0.084498,0.053631,0.066085,0.084353,-1.0,0.016493,0.068284,0.086137
jsapar,0.08979,0.063202,0.074214,0.088139,0.04408,0.008891,0.046535,0.082858
jxls,0.07563,0.039613,0.040128,0.100351,-1.0,0.001071,0.047085,0.019494
logisim,0.058313,0.020742,0.045637,0.029071,-1.0,0.009486,0.019926,0.020447
marvin,0.075561,0.060805,0.070478,0.081258,0.05979,0.001111,0.056437,0.077686
nekohtml,0.070859,0.049055,0.074772,0.072467,0.046025,0.004511,0.044086,0.047195
