Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.581353,0.759867,0.533803,0.756493,0.740117,0.00437,0.73484,0.03089
borg,0.350687,0.548373,0.34798,0.47769,-1.0,0.00134,0.415017,0.01793
datapro4j,0.761107,0.915087,0.776857,0.888543,0.855723,0.00481,0.921747,0.08956
ical4j,0.5346,0.708773,0.526263,0.6509,0.58824,0.013597,0.606033,0.10245
java2html,0.482873,0.681347,0.57505,0.702643,-1.0,0.002433,0.485613,0.01971
jsapar,0.591343,0.735763,0.541223,0.63578,0.593977,0.00514,0.53564,0.03502
jxls,0.563913,0.740517,0.586387,0.6856,-1.0,0.00271,0.565043,0.02727
logisim,0.52156,0.819473,0.734787,0.778922,-1.0,0.001147,0.680323,0.0215
marvin,0.679063,0.832123,0.6774,0.79711,0.787937,0.004523,0.778847,0.03166
nekohtml,0.507833,0.809603,0.681687,0.747767,0.687853,0.010043,0.611093,0.05605
