Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.090406,0.046442,0.085924,0.083648,0.041182,0.013287,0.054218,0.056451
borg,0.106344,0.053638,0.0472,0.085943,-1.0,0.007088,0.035302,0.052929
datapro4j,0.089683,0.047319,0.050083,0.092455,0.036021,0.0137,0.037619,0.081358
ical4j,0.0855,0.058407,0.046646,0.121933,0.019843,0.015594,0.014997,0.058322
java2html,0.195244,0.081596,0.095825,0.14397,-1.0,0.010565,0.082545,0.073228
jsapar,0.124,0.057763,0.071717,0.088725,0.043536,0.018544,0.077056,0.073412
jxls,0.080797,0.045579,0.055236,0.073918,-1.0,0.010544,0.073642,0.042556
logisim,0.093804,0.046598,0.064361,0.107503,-1.0,0.002618,0.017878,0.053888
marvin,0.093753,0.05459,0.076093,0.09115,0.056443,0.018598,0.061011,0.06361
nekohtml,0.09944,0.038327,0.062058,0.076033,0.016449,0.016578,0.022389,0.069384
