Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.162659,0.080932,0.06503,0.094662,0.037443,0.0,0.026099,0.048061
borg,0.172364,0.082584,0.112182,0.14652,-1.0,0.005963,0.035827,0.114238
datapro4j,0.155608,0.092991,0.059815,0.105626,0.03825,0.0,0.029374,0.069081
ical4j,0.102803,0.080451,0.059241,0.102833,0.026487,0.001733,0.021566,0.04927
java2html,0.151307,0.076976,0.10711,0.12047,-1.0,0.011235,0.0519,0.114845
jsapar,0.177984,0.088432,0.068442,0.092559,0.038237,0.018858,0.035367,0.123529
jxls,0.145069,0.088136,0.100026,0.101513,-1.0,0.0,0.032109,0.08632
logisim,0.16414,0.078719,0.103755,0.105654,-1.0,0.0,0.022717,0.07817
marvin,0.168548,0.095108,0.077118,0.091165,0.049744,0.010443,0.047458,0.060593
nekohtml,0.191501,0.086736,0.06016,0.09427,0.038073,0.013207,0.026512,0.107322
