Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.692137,0.770243,0.44311,0.740585,0.786327,0.0,0.80017,7.4E-4
borg,0.212917,0.315733,0.101967,0.536722,-1.0,0.0,0.3048,0.0
datapro4j,0.9316,0.963233,0.8664,0.909667,0.967233,0.0,0.955167,8.0E-4
ical4j,0.61202,0.666167,0.324683,0.746621,0.672587,0.0,0.63375,0.003
java2html,0.323433,0.43555,0.14925,0.524333,-1.0,0.0,0.447817,6.0E-4
jsapar,0.511063,0.686383,0.331393,0.704462,0.69164,0.0,0.680807,9.9E-4
jxls,0.476883,0.556667,0.281733,0.739464,-1.0,0.0,0.5508,0.0
logisim,0.444667,0.449,0.269767,0.638923,-1.0,0.0,0.4414,0.0
marvin,0.826433,0.8511,0.6995,0.8494,0.867733,0.0,0.864133,0.0011
nekohtml,0.771567,0.822633,0.6568,0.830966,0.856367,0.0,0.835067,6.0E-4
