Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.083617,0.060022,0.109213,0.125368,0.063596,0.006807,0.071848,0.087837
borg,0.138055,0.090353,0.189021,0.128309,-1.0,0.014162,0.103382,0.013292
datapro4j,0.049126,0.043718,0.064368,0.033983,0.034615,0.0,0.044686,0.083973
ical4j,0.064784,0.033956,0.08583,0.08371,0.037181,0.015315,0.047208,0.038153
java2html,0.12613,0.109092,0.141611,0.138131,-1.0,0.05164,0.112494,0.10922
jsapar,0.095562,0.060266,0.101511,0.111295,0.057177,0.014518,0.071874,0.037899
jxls,0.097061,0.081531,0.102867,0.143805,-1.0,0.01042,0.078123,0.067971
logisim,0.069286,0.058378,0.098122,0.11021,-1.0,0.0,0.056335,0.084081
marvin,0.081042,0.069159,0.082987,0.143902,0.06658,0.046981,0.071523,0.029967
nekohtml,0.083744,0.055163,0.115075,0.132272,0.05194,0.018142,0.04849,0.086922
