Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.622253,0.775607,0.529,0.775,0.791513,0.0,0.807093,0.01994
borg,0.188821,0.464487,0.085547,-1.0,-1.0,0.0,0.497787,0.0
datapro4j,0.946933,0.9726,0.88104,0.929133,0.974747,0.0,0.9798,0.01854
ical4j,0.5014,0.666767,0.322907,0.697569,0.68408,0.0,0.705253,0.03436
java2html,0.259964,0.540387,0.14472,-1.0,-1.0,0.0,0.587007,0.0018
jsapar,0.5305,0.703467,0.41732,0.72655,0.690647,0.0,0.747967,0.01551
jxls,0.409807,0.570887,0.190907,-1.0,-1.0,0.0,0.6038,0.0
logisim,0.347331,0.500887,0.234207,-1.0,-1.0,0.0,0.490833,0.0
marvin,0.828067,0.856547,0.720853,0.84876,0.859827,0.0,0.8848,0.01795
nekohtml,0.772113,0.84158,0.618427,0.828413,0.861553,0.0,0.859227,0.0212
