Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.093013,0.062995,0.098725,0.137021,0.054587,0.031862,0.063744,0.133373
borg,0.175558,0.083123,0.268987,-1.0,-1.0,0.092477,0.09855,0.051962
datapro4j,0.056204,0.037008,0.076903,0.014081,0.045853,0.0,0.037266,0.177105
ical4j,0.084631,0.050291,0.080925,0.111858,0.037357,0.006383,0.04927,0.087183
java2html,0.100774,0.067035,0.14795,-1.0,-1.0,0.076174,0.067796,0.088589
jsapar,0.106928,0.069641,0.111232,0.18017,0.061874,0.024542,0.071103,0.146089
jxls,0.102466,0.072855,0.159613,-1.0,-1.0,0.064882,0.070894,0.061999
logisim,0.105535,0.062897,0.160571,-1.0,-1.0,0.055223,0.05666,0.07384
marvin,0.095919,0.076414,0.100892,0.149767,0.071269,0.019266,0.102013,0.116509
nekohtml,0.082253,0.056459,0.09321,0.148807,0.048914,0.001161,0.060076,0.128822
