Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.79566,0.88571,0.57661,0.821333,0.88393,0.00252,0.887965,0.02962
borg,0.2361,0.65525,0.37815,0.88375,-1.0,0.0,0.63695,0.0
datapro4j,0.8977,0.9555,0.8968,0.9366,0.9642,0.0,0.9496,0.04
ical4j,0.68309,0.75874,0.51294,0.784842,0.79859,0.017775,0.777168,0.04869
java2html,0.247211,0.7137,0.41755,0.652583,-1.0,0.0,0.7173,0.0
jsapar,0.663555,0.78389,0.48664,0.7186,0.789705,0.001125,0.78339,0.04261
jxls,0.25025,0.8076,0.5467,0.91425,-1.0,0.0,0.79545,0.0
logisim,0.28775,0.7945,0.5572,0.962833,-1.0,0.0,0.77785,0.0
marvin,0.868895,0.926895,0.788211,0.893368,0.937579,0.0,0.929789,0.0336
nekohtml,0.816842,0.904368,0.736368,0.896316,0.919474,0.0,0.895316,0.005
