Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.131404,0.066379,0.096506,0.203575,0.056342,0.011913,0.07119,0.089574
borg,0.201326,0.080743,0.121683,0.138018,-1.0,0.002656,0.076274,0.04541
datapro4j,0.172691,0.063083,0.08656,0.304315,0.059831,0.001111,0.079167,0.109525
ical4j,0.11627,0.056155,0.064914,0.018475,0.040669,0.006423,0.044143,0.109084
java2html,0.113558,0.070796,0.09442,0.147642,-1.0,0.014964,0.083939,0.03634
jsapar,0.122885,0.075727,0.090945,0.224624,0.049132,0.012165,0.054772,0.084381
jxls,0.194618,0.079252,0.111436,0.448074,-1.0,0.004414,0.079904,0.040252
logisim,0.128924,0.052179,0.075658,0.038421,-1.0,0.001531,0.049454,0.025765
marvin,0.157746,0.075948,0.106651,0.25443,0.077276,0.007434,0.082749,0.101022
nekohtml,0.123307,0.049862,0.093403,0.271643,0.053835,0.001294,0.064144,0.099517
