Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.115423,0.077072,0.078802,0.083805,0.036139,0.006293,0.032366,0.066572
borg,0.098221,0.071443,0.078391,0.092243,-1.0,0.021877,0.043197,0.100715
datapro4j,0.132723,0.091861,0.058343,0.119597,0.020313,0.001509,0.025135,0.079543
ical4j,0.107023,0.074406,0.055436,0.115178,0.019804,0.007919,0.014078,0.064421
java2html,0.173244,0.078317,0.111568,0.104093,-1.0,0.003311,0.057496,0.099048
jsapar,0.156019,0.073419,0.092317,0.097771,0.033092,0.002011,0.035201,0.059972
jxls,0.112573,0.084574,0.09378,0.086644,-1.0,0.002582,0.037764,0.073852
logisim,0.116229,0.081472,0.073425,0.085779,-1.0,0.0,0.020251,0.064766
marvin,0.154572,0.082184,0.095794,0.091253,0.027877,0.026133,0.042846,0.075975
nekohtml,0.121986,0.081459,0.079009,0.103621,0.02698,0.008608,0.028389,0.112126
