Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.279773,0.62248,0.297567,0.652247,0.640567,0.0,0.67244,4.8E-4
borg,0.095673,0.356,0.046613,0.5608,-1.0,0.0,0.3527,2.8E-4
datapro4j,0.672813,0.907187,0.828647,0.871953,0.901793,0.0,0.907553,8.4E-4
ical4j,0.239487,0.58602,0.29496,0.69836,0.55606,0.0,0.617333,0.00136
java2html,0.15194,0.437013,0.100973,0.414979,-1.0,5.0E-4,0.442153,0.00121
jsapar,0.18308,0.527133,0.213293,0.57894,0.48244,0.0,0.523973,3.8E-4
jxls,0.18758,0.47898,0.196393,0.566854,-1.0,0.0,0.484673,2.1E-4
logisim,0.209367,0.47556,0.246,0.626171,-1.0,0.0,0.47722,2.6E-4
marvin,0.552347,0.771273,0.586273,0.764167,0.777153,0.0,0.782233,3.1E-4
nekohtml,0.424473,0.745733,0.49012,0.724633,0.732727,0.0,0.7275,1.0E-4
