Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.14155,0.070132,0.083822,0.210728,0.057381,0.007719,0.070132,0.055573
borg,0.1949,0.070927,0.169219,0.148995,-1.0,0.00295,0.083983,0.045855
datapro4j,0.115439,0.047032,0.054146,0.422919,0.031098,0.001529,0.046776,0.101274
ical4j,0.097068,0.051467,0.063222,0.080846,0.032345,0.004432,0.03997,0.048492
java2html,0.164301,0.074089,0.154973,0.190243,-1.0,0.020461,0.091369,0.05493
jsapar,0.157046,0.073988,0.099709,0.14645,0.054007,0.024173,0.061833,0.074554
jxls,0.145906,0.065948,0.113491,0.175368,-1.0,0.005911,0.076312,0.054638
logisim,0.153763,0.061454,0.153822,0.090155,-1.0,0.002816,0.084927,0.084768
marvin,0.130877,0.061831,0.082629,0.166324,0.056703,0.018263,0.069885,0.059276
nekohtml,0.108568,0.054677,0.073072,0.19847,0.037231,0.0,0.047799,0.092329
