Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.080163,0.054424,0.109446,0.156211,0.045976,0.010306,0.047617,0.101449
borg,0.168361,0.057974,0.121614,0.06391,-1.0,0.012282,0.072696,0.070695
datapro4j,0.09007,0.018807,0.038413,0.177947,0.015801,0.002564,0.024971,0.117107
ical4j,0.044723,0.022209,0.052499,0.026647,0.023606,0.002943,0.027293,0.070034
java2html,0.14192,0.09887,0.139446,0.085499,-1.0,-1.0,0.084391,0.100164
jsapar,0.210443,0.062656,0.095458,0.071478,0.041866,0.00754,0.062705,0.052119
jxls,0.154293,0.053265,0.085519,0.176494,-1.0,0.006046,0.060133,0.051263
logisim,0.05373,0.036943,0.080307,0.031088,-1.0,0.0,0.045158,0.047926
marvin,0.144167,0.037816,0.072792,0.096744,0.033294,0.021852,0.052645,0.119004
nekohtml,0.118941,0.017308,0.084181,0.081653,0.016406,0.008229,0.033704,0.067936
