Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.25012,0.54956,0.350633,0.52194,0.31164,0.0,0.428133,0.00276
borg,0.304,0.618333,0.482767,0.539067,-1.0,0.0,0.571333,0.0
datapro4j,0.428467,0.5904,0.336333,0.588533,0.432333,0.0,0.514,0.0102
ical4j,0.133067,0.386533,0.162033,0.4288,0.258833,0.0,0.3466,0.006563
java2html,0.311,0.62622,0.3614,0.55196,-1.0,0.0,0.588627,0.0
jsapar,0.1768,0.473893,0.238633,0.43472,0.365593,0.0,0.336133,7.0E-4
jxls,0.243667,0.6089,0.356467,0.5034,-1.0,0.0,0.558867,0.0087
logisim,0.185933,0.514267,0.287133,0.4476,-1.0,0.0,0.4996,0.0041
marvin,0.2684,0.5122,0.317667,0.512,0.355733,0.0,0.4442,0.0015
nekohtml,0.2186,0.5581,0.3237,0.546633,0.3828,0.0,0.464133,0.0
