Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.101852,0.057538,0.071732,0.112333,0.011641,0.0,0.026841,0.045663
borg,0.087924,0.044252,0.059014,0.096117,-1.0,0.0,0.03957,0.024566
datapro4j,0.073351,0.039594,0.062482,0.108024,0.028796,0.0,0.045611,0.075636
ical4j,0.073252,0.041043,0.071572,0.109524,0.013746,0.0,0.030033,0.042983
java2html,0.08699,0.061677,0.109337,0.165928,-1.0,0.0,0.050859,0.081758
jsapar,0.112427,0.060113,0.077961,0.096258,0.041453,0.0,0.026933,0.03752
jxls,0.131924,0.047651,0.063138,0.140324,-1.0,0.0,0.039527,0.064087
logisim,0.117683,0.039211,0.069769,0.127727,-1.0,0.0,0.048594,0.096837
marvin,0.156468,0.069413,0.096046,0.109796,0.037329,0.0,0.068306,0.061469
nekohtml,0.135614,0.046449,0.068693,0.104809,0.016491,0.001283,0.040376,0.034685
