Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.922253,0.957847,0.662687,0.9,0.9612,0.005133,0.932533,0.03024
borg,0.736867,0.838533,0.721933,0.998733,-1.0,0.0,0.8182,0.0
datapro4j,0.8,0.814,0.5322,0.701867,0.760067,0.0,0.785467,0.0158
ical4j,0.66024,0.765173,0.375233,0.652,0.725987,0.018333,0.738607,0.02924
java2html,0.799133,0.934867,0.6878,0.922,-1.0,0.0,0.929533,0.0056
jsapar,0.713887,0.782533,0.467073,0.677867,0.77706,0.013713,0.683813,0.0246
jxls,0.885133,0.959467,0.7068,0.990733,-1.0,0.0,0.928067,0.0098
logisim,0.809867,0.9248,0.631867,0.994933,-1.0,0.0,0.879933,0.0
marvin,0.649533,0.711933,0.458067,0.629,0.598667,0.0,0.6686,0.0153
nekohtml,0.8354,0.870267,0.569267,0.748667,0.776267,0.0,0.833067,0.0057
