Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.10263,0.088333,0.163282,0.0,0.098781,0.0,0.108351,0.119129
borg,0.097408,0.122451,0.12741,0.0,-1.0,0.0,0.091876,0.086242
datapro4j,0.078305,0.085943,0.118385,0.060511,0.106909,0.0,0.087881,0.078382
ical4j,0.06763,0.068861,0.108914,0.015396,0.06713,0.0,0.067211,0.102717
java2html,0.091296,0.084684,0.130678,0.157735,-1.0,0.0,0.089236,0.141004
jsapar,0.082991,0.061608,0.121183,0.075545,0.056717,0.015128,0.067405,0.090566
jxls,0.09579,0.071259,0.120101,0.0,-1.0,0.0,0.079775,0.105193
logisim,0.115244,0.087533,0.124782,0.0,-1.0,0.0,0.09008,0.110596
marvin,0.091077,0.045308,0.107362,0.09926,0.026466,0.0,0.05475,0.123808
nekohtml,0.07159,0.07284,0.116342,0.11082,0.081939,0.0,0.067096,0.079206
