Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.089098,0.060738,0.114683,0.088765,0.042453,0.0,0.073946,0.0494
borg,0.105622,0.06697,0.044037,0.029949,-1.0,0.0,0.076315,0.009167
datapro4j,0.002848,0.0,0.022128,0.0,0.0,0.0,0.0,0.033429
ical4j,0.091491,0.064707,0.122792,0.067057,0.046891,4.45E-4,0.056307,0.022822
java2html,0.102302,0.07237,0.104324,0.054227,-1.0,0.0,0.070874,0.026282
jsapar,0.111943,0.069537,0.122039,0.152309,0.056559,0.002233,0.070743,0.071345
jxls,0.094097,0.04869,0.032796,0.142013,-1.0,0.0,0.041647,0.026756
logisim,0.098195,0.044974,0.049814,0.074842,-1.0,0.0,0.052624,0.032967
marvin,0.05562,0.024691,0.037388,0.094301,0.024252,0.0,0.061813,0.057809
nekohtml,0.085775,0.052561,0.104499,0.042431,0.024053,0.0,0.053865,0.048671
