Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.129661,0.081009,0.054969,0.080761,0.017055,0.001375,0.011743,0.079048
borg,0.182185,0.05375,0.062316,0.148781,-1.0,0.0,0.02979,0.04942
datapro4j,0.158587,0.089615,0.060469,0.133195,0.026206,0.0,0.032056,0.062845
ical4j,0.103631,0.075324,0.04288,0.128646,0.018841,0.0,0.01608,0.051206
java2html,0.180372,0.077941,0.086914,0.106483,-1.0,0.006165,0.058275,0.073263
jsapar,0.105502,0.068663,0.061617,0.124615,0.034499,0.007409,0.023181,0.059944
jxls,0.174659,0.088146,0.076082,0.112574,-1.0,0.0,0.036911,0.059732
logisim,0.106952,0.0939,0.056936,0.084358,-1.0,0.0,0.019363,0.047329
marvin,0.141466,0.078099,0.071734,0.112928,0.037168,0.013363,0.031197,0.088541
nekohtml,0.126269,0.074797,0.063268,0.164431,0.024498,0.002771,0.018303,0.070681
