Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.31182,0.74766,0.510653,0.712193,0.754307,0.0,0.715707,0.03326
borg,0.212533,0.495707,0.21476,0.64155,-1.0,0.0,0.50732,0.03766
datapro4j,0.678787,0.9401,0.9245,0.8826,0.785753,0.0,0.694,0.0323
ical4j,0.252173,0.71548,0.327713,0.774013,0.686,0.0,0.70288,0.06249
java2html,0.184933,0.49522,0.264613,0.408757,-1.0,0.0,0.466653,0.02717
jsapar,0.244813,0.6586,0.384333,0.6489,0.62546,0.0,0.62164,0.02035
jxls,0.298927,0.634173,0.334733,0.605586,-1.0,0.0,0.609853,0.03822
logisim,0.199547,0.46634,0.254607,0.561356,-1.0,0.0,0.457507,0.02333
marvin,0.586593,0.838273,0.728793,0.820473,0.82426,0.0,0.721653,0.03794
nekohtml,0.403633,0.80772,0.64314,0.78166,0.75792,0.0,0.690593,0.03107
