Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.190034,0.067653,0.086157,0.216504,0.065954,0.0,0.062088,0.093572
borg,0.21656,0.086611,0.161814,0.352365,-1.0,0.0,0.148013,0.072984
datapro4j,0.130882,0.032694,0.079979,0.678137,0.005143,0.0,0.024461,0.133121
ical4j,0.123777,0.069283,0.074929,0.094382,0.040939,0.003182,0.051731,0.122638
java2html,0.173257,0.074888,0.095222,0.20132,-1.0,0.0,0.075604,0.066639
jsapar,0.180342,0.071145,0.106399,0.273557,0.058475,0.0,0.043754,0.120348
jxls,0.195068,0.070256,0.119835,0.20945,-1.0,0.0,0.095809,0.060191
logisim,0.214538,0.095716,0.184366,0.178635,-1.0,0.0,0.145621,0.097753
marvin,0.157558,0.054993,0.12215,0.359362,0.039543,0.001849,0.038784,0.134355
nekohtml,0.155896,0.0555,0.097315,0.357435,0.037284,0.0,0.020891,0.112781
