Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.641867,0.871813,0.707673,0.812733,0.88678,0.00488,0.8544,0.04575
borg,0.550929,0.842667,0.6928,0.8102,-1.0,0.0448,0.799267,0.11262
datapro4j,0.7624,0.9272,0.961067,0.907,0.8018,0.0,0.5468,0.0766
ical4j,0.5876,0.837827,0.643587,0.730667,0.882293,0.04274,0.838447,0.14915
java2html,0.701,0.778213,0.6696,0.690929,-1.0,0.00384,0.7366,0.04872
jsapar,0.58152,0.830647,0.61334,0.663213,0.824727,0.00702,0.777653,0.04661
jxls,0.796467,0.918733,0.813867,0.922667,-1.0,0.0338,0.910067,0.06401
logisim,0.688333,0.950467,0.856533,0.965,-1.0,0.063,0.944667,0.11269
marvin,0.723267,0.9164,0.837733,0.895733,0.897133,0.0,0.892867,0.0334
nekohtml,0.558,0.8878,0.7758,0.743733,0.906333,0.0024,0.510533,0.046
