Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.154715,0.057828,0.106724,0.130155,0.07249,0.0,0.062372,0.073756
borg,0.087112,0.053463,0.087883,0.0,-1.0,0.001197,0.083512,0.035536
datapro4j,0.142325,0.047745,0.039164,0.3849,0.011259,0.0,0.062727,0.079135
ical4j,0.102724,0.044944,0.07271,0.0,0.057966,0.001529,0.058926,0.056712
java2html,0.103991,0.06301,0.106772,0.137317,-1.0,0.004114,0.062169,0.050274
jsapar,0.147853,0.059237,0.114241,0.22332,0.068243,0.004992,0.066788,0.078682
jxls,0.128242,0.072695,0.085685,0.193982,-1.0,0.0,0.070554,0.035168
logisim,0.090422,0.079305,0.088035,0.0,-1.0,0.0,0.077338,0.032693
marvin,0.102712,0.034955,0.089332,0.169526,0.024395,0.0,0.05002,0.085746
nekohtml,0.168172,0.039198,0.065548,0.326221,0.03982,0.001143,0.061839,0.074829
