Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.061267,0.296147,0.22082,0.33298,0.205333,0.0,0.249533,0.00154
borg,0.038867,0.49178,0.195033,0.460333,-1.0,0.0,0.432953,0.01165
datapro4j,0.116007,0.426187,0.273027,0.482107,0.282887,0.0,0.357547,0.00996
ical4j,0.033887,0.28858,0.113653,0.287071,0.138233,0.0,0.207007,0.00499
java2html,0.048113,0.406147,0.174727,0.368313,-1.0,0.0,0.39944,0.00761
jsapar,0.040807,0.295933,0.1463,0.312213,0.19,0.0,0.236627,3.8E-4
jxls,0.090153,0.38556,0.194547,0.417487,-1.0,0.0,0.401393,0.00636
logisim,0.01384,0.376093,0.162067,0.39576,-1.0,0.0,0.319673,3.0E-5
marvin,0.091113,0.324253,0.2242,0.371393,0.222547,0.0,0.29236,0.00297
nekohtml,0.048867,0.340393,0.204247,0.387493,0.214167,0.0,0.264707,5.0E-5
