Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.101549,0.044887,0.048848,0.075501,0.015482,0.005661,0.058867,0.014983
borg,0.055823,0.027022,0.046497,0.09059,-1.0,0.002802,0.034404,0.037378
datapro4j,0.084541,0.044832,0.046081,0.111906,0.022704,0.126422,0.027459,0.041621
ical4j,0.073315,0.0268,0.041214,0.098493,0.011292,0.014495,0.01557,0.041651
java2html,0.13222,0.040468,0.067713,0.096216,-1.0,0.0,0.074739,0.030143
jsapar,0.117578,0.031706,0.057557,0.072318,0.023774,7.32E-4,0.038825,0.032084
jxls,0.075427,0.046564,0.06314,0.088085,-1.0,0.004013,0.026574,0.039531
logisim,0.069899,0.043154,0.043414,0.087778,-1.0,0.001179,0.005148,0.031911
marvin,0.094793,0.042643,0.056808,0.079657,0.015389,0.006289,0.027808,0.052591
nekohtml,0.072605,0.045168,0.060555,0.084074,0.007948,0.007857,0.023188,0.025909
