Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.059811,0.155946,0.150762,0.178251,0.102587,0.0,0.135488,0.024945
borg,0.053426,0.364566,0.235675,0.131412,-1.0,0.0,0.244488,0.020989
datapro4j,0.106501,0.220567,0.182238,0.343526,0.120108,0.0,0.175973,0.06416
ical4j,0.062504,0.194713,0.133129,0.161296,0.079955,3.5E-5,0.12527,0.044441
java2html,0.049835,0.225863,0.185746,0.192808,-1.0,0.0,0.170826,0.016214
jsapar,0.030565,0.15415,0.117836,0.095705,0.092531,0.0,0.133159,0.018684
jxls,0.061766,0.238977,0.194623,0.196658,-1.0,0.0,0.190671,0.037333
logisim,0.048787,0.251761,0.195588,0.187863,-1.0,0.0,0.192011,0.047795
marvin,0.091242,0.221622,0.172406,0.274093,0.149002,0.0,0.185625,0.02069
nekohtml,0.068236,0.191486,0.151055,0.14476,0.114092,0.0,0.170401,0.013919
