Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.203376,0.144889,0.067356,0.112249,0.038413,0.015632,0.076222,0.129975
borg,0.220109,0.108208,0.064773,0.132853,-1.0,0.005728,0.071512,0.073413
datapro4j,0.146542,0.123933,0.0464,0.093477,0.038496,0.019688,0.110502,0.113002
ical4j,0.100564,0.120993,0.038637,0.100003,0.013882,0.005402,0.06255,0.09354
java2html,0.203966,0.118561,0.07707,0.092819,-1.0,0.039056,0.095057,0.115967
jsapar,0.176388,0.137231,0.0736,0.081131,0.033444,0.00362,0.068381,0.119532
jxls,0.159472,0.112293,0.052719,0.106213,-1.0,0.005063,0.077085,0.093367
logisim,0.138914,0.107745,0.046354,0.095237,-1.0,0.006923,0.074375,0.100029
marvin,0.164396,0.135368,0.084267,0.12275,0.051105,0.004704,0.113395,0.113397
nekohtml,0.186516,0.136601,0.069487,0.101719,0.039291,0.007081,0.088349,0.117399
