Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.194065,0.355492,0.247138,0.383742,0.226219,0.0,0.302733,0.033327
borg,0.219611,0.619736,0.44901,0.346512,-1.0,0.0,0.552553,0.014365
datapro4j,0.2067,0.362518,0.193703,0.432677,0.216963,0.0,0.322465,0.028978
ical4j,0.103023,0.277475,0.16687,0.245494,0.156896,4.1E-5,0.219617,0.028549
java2html,0.186811,0.452779,0.338277,0.317191,-1.0,0.0,0.385673,0.005472
jsapar,0.069052,0.273827,0.15013,0.148438,0.155113,0.0,0.170837,0.023945
jxls,0.128321,0.461679,0.327671,0.327832,-1.0,0.0,0.376121,0.052905
logisim,0.104417,0.478792,0.323624,0.300279,-1.0,0.0,0.393408,0.020277
marvin,0.178635,0.402085,0.25448,0.454786,0.273144,0.0,0.368427,0.021931
nekohtml,0.137721,0.347347,0.205975,0.254997,0.21357,0.0,0.32637,0.010299
