Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.138926,0.128725,0.079212,0.144424,0.040853,0.010444,0.040862,0.123452
borg,0.099217,0.071178,0.056812,0.061479,-1.0,0.001405,0.033212,0.040099
datapro4j,0.14011,0.095209,0.056531,0.106789,0.037696,0.002823,0.09884,0.087752
ical4j,0.1362,0.100313,0.05225,0.098138,0.015973,0.004284,0.050093,0.076681
java2html,0.101316,0.096611,0.078726,0.080627,-1.0,0.027327,0.054726,0.067565
jsapar,0.172527,0.124137,0.081625,0.123027,0.044288,0.003849,0.061516,0.117545
jxls,0.150428,0.09561,0.058874,0.126694,-1.0,0.008109,0.061301,0.071769
logisim,0.068401,0.07468,0.035407,0.113648,-1.0,0.002723,0.034716,0.049801
marvin,0.1554,0.115244,0.08659,0.121194,0.052046,0.0,0.097546,0.118367
nekohtml,0.224682,0.115426,0.083139,0.165662,0.034744,0.003849,0.080177,0.11337
