Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.053291,0.140074,0.137453,0.185217,0.088066,0.0,0.126528,0.031343
borg,0.03752,0.342312,0.205536,0.102261,-1.0,0.0,0.16162,0.028293
datapro4j,0.084326,0.185865,0.148325,0.306498,0.104816,0.0,0.248219,0.056252
ical4j,0.057073,0.168553,0.119214,0.164771,0.080552,0.0,0.111744,0.038229
java2html,0.025713,0.131083,0.114124,0.116013,-1.0,0.0,0.08486,0.007341
jsapar,0.033516,0.134652,0.099389,0.061388,0.084027,0.0,0.094748,0.018507
jxls,0.061648,0.241055,0.185035,0.228907,-1.0,0.0,0.204549,0.048652
logisim,0.01847,0.2469,0.203141,0.148963,-1.0,0.0,0.222684,0.025642
marvin,0.070847,0.170657,0.158114,0.268746,0.136999,2.0E-6,0.294673,0.021292
nekohtml,0.061931,0.170995,0.145913,0.13179,0.104517,0.0,0.144086,0.0177
