Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.184461,0.134685,0.064197,0.099717,0.048399,0.011863,0.044637,0.113703
borg,0.134634,0.106469,0.066166,0.129773,-1.0,0.013819,0.087855,0.061209
datapro4j,0.163217,0.146431,0.050635,0.100189,0.043088,0.006633,0.040576,0.129307
ical4j,0.095505,0.123466,0.037046,0.079824,0.019021,0.0,0.015659,0.089863
java2html,0.22247,0.108083,0.075896,0.099477,-1.0,0.036173,0.087423,0.099562
jsapar,0.22993,0.127031,0.073732,0.12921,0.038913,0.011505,0.058653,0.11114
jxls,0.180805,0.115892,0.052463,0.093922,-1.0,0.008011,0.072466,0.077738
logisim,0.169472,0.126024,0.045001,0.089472,-1.0,0.007649,0.028356,0.075157
marvin,0.165502,0.148606,0.08085,0.111992,0.068649,0.002375,0.075497,0.124979
nekohtml,0.174121,0.138829,0.065355,0.141125,0.039198,0.011537,0.049212,0.110699
