Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.307869,0.490044,0.476468,0.401372,0.2222,2.07E-4,0.425301,0.057265
borg,0.248241,0.724761,0.597595,0.63954,-1.0,3.86E-4,0.53798,0.046827
datapro4j,0.27382,0.478745,0.37947,0.389942,0.257638,0.0,0.405045,0.102208
ical4j,0.272172,0.586059,0.43428,0.521726,0.3041,6.71E-4,0.425281,0.09103
java2html,0.344865,0.606145,0.567052,0.521304,-1.0,2.49E-4,0.500744,0.091239
jsapar,0.121417,0.417995,0.362998,-1.0,0.226534,6.96E-4,0.305681,0.036678
jxls,0.320189,0.638076,0.614981,0.555815,-1.0,5.1E-5,0.566349,0.095625
logisim,0.101764,0.560071,0.514059,0.471851,-1.0,0.0,0.433965,0.037647
marvin,0.246532,0.464759,0.381193,0.406963,0.277419,0.0,0.412374,0.037494
nekohtml,0.091414,0.496114,0.425943,0.314205,0.277959,0.0,0.421828,0.017871
