Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.167494,0.460745,0.302269,0.307927,0.262451,4.0E-5,0.316431,0.047722
borg,0.114272,0.693172,0.36389,0.423391,-1.0,0.0,0.479307,0.115206
datapro4j,0.489402,0.794929,0.510858,0.766909,0.676539,0.0,0.701451,0.093299
ical4j,0.24037,0.485708,0.3197,0.399065,0.282079,0.0,0.261976,0.109716
java2html,0.132191,0.444245,0.301241,0.10053,-1.0,0.0,0.325887,0.04277
jsapar,0.136342,0.414984,0.236512,0.32597,0.179344,0.0,0.236567,0.039381
jxls,0.200671,0.529547,0.340268,0.370805,-1.0,0.0,0.424921,0.09878
logisim,0.223232,0.529477,0.358211,0.33638,-1.0,0.0,0.430993,0.125669
marvin,0.373411,0.691149,0.50693,0.625167,0.446944,0.0,0.633764,0.062281
nekohtml,0.285753,0.565401,0.429488,0.51732,0.376557,1.6E-4,0.55975,0.059459
