Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.15951,0.113397,0.080284,0.099897,0.031536,0.012071,0.04729,0.119744
borg,0.109011,0.072816,0.044399,0.182535,-1.0,0.006065,0.052172,0.066767
datapro4j,0.14639,0.070754,0.059868,0.110924,0.053325,0.018098,0.079486,0.109694
ical4j,0.09729,0.088114,0.042814,0.115564,0.011764,0.002857,0.045871,0.11235
java2html,0.129095,0.086408,0.068998,0.059468,-1.0,0.027136,0.066515,0.0971
jsapar,0.181396,0.108974,0.080585,0.128767,0.050367,0.018483,0.065785,0.131697
jxls,0.149732,0.067898,0.046953,0.096319,-1.0,0.006127,0.050415,0.079178
logisim,0.139068,0.056749,0.054691,0.017648,-1.0,0.008796,0.03576,0.104956
marvin,0.180119,0.089591,0.090872,0.076055,0.057528,0.001161,0.094386,0.132425
nekohtml,0.169685,0.092639,0.087935,0.124008,0.033543,0.003849,0.069017,0.126112
