Problem,SPEA2,NSGA-II,MOEA/D,eMOEA,GrEA,IBEA,HypE,NSGA-III
aqualush,0.168953,0.125142,0.070442,0.09,0.047476,0.011212,0.076599,0.109534
borg,0.136195,0.110466,0.07542,0.134356,-1.0,0.011988,0.071958,0.078534
datapro4j,0.129762,0.113604,0.044751,0.084073,0.03417,0.020438,0.097933,0.104647
ical4j,0.096726,0.095478,0.039245,0.074639,0.0196,0.006465,0.059325,0.094805
java2html,0.199044,0.115268,0.090609,0.102881,-1.0,0.039358,0.105875,0.112676
jsapar,0.189598,0.116358,0.083714,0.185295,0.070817,0.010884,0.09022,0.100278
jxls,0.162159,0.106224,0.05793,0.093856,-1.0,0.01241,0.080862,0.093079
logisim,0.132048,0.097053,0.046871,0.098131,-1.0,0.014377,0.069509,0.094001
marvin,0.157937,0.125085,0.082893,0.088352,0.062853,0.003441,0.105787,0.118595
nekohtml,0.173597,0.114398,0.070121,0.093361,0.045822,0.003563,0.085886,0.100603
